,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Player,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
Vladimír Coufal,MFDF,33,3.0,0,0,0,4,3,1,20,2,1,,,0,Matches,fdf3cb77
Robin Hranáč,DF,26,3.0,0,0,0,6,0,0,1,1,0,,,0,Matches,95d5aea2
Matej Kovar,GK,26,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches,bc67a0e1
Ladislav Krejčí,DF,27,3.0,1,0,0,6,2,0,2,1,3,,,0,Matches,5b5c2228
Pavel Šulc,FW,25,2.1,0,0,0,2,1,1,1,0,2,,,0,Matches,e9b893af
Michal Sadílek,MF,27,2.0,0,0,0,0,3,0,12,2,2,,,0,Matches,7c9fa389
Patrik Schick,FW,30,2.0,0,0,0,1,3,0,0,0,0,,,0,Matches,5d4f7d61
Lukáš Červ,MF,25,1.8,0,0,0,3,3,0,0,0,3,,,0,Matches,bb4a41bc
Adam Hložek,FW,23,1.7,0,0,0,4,4,0,0,1,1,,,0,Matches,5521f419
Tomáš Holeš,DF,33,1.7,0,0,0,2,2,0,0,4,3,,,0,Matches,e03c2d97
Alexandr Sojka,MFDF,23,1.6,0,0,0,0,2,0,6,2,1,,,0,Matches,765b7bfc
Tomáš Souček,MF,31,1.5,0,0,0,3,1,2,1,1,0,,,0,Matches,6613c819
Jaroslav Zelený,MF,33,1.4,0,0,0,0,2,0,4,0,0,,,0,Matches,bc647827
Lukáš Provod,FW,29,1.4,0,0,0,2,1,1,5,1,3,,,0,Matches,8f21b7bd
Štěpán Chaloupek,DF,23,1.0,0,0,0,1,0,0,0,2,0,,,0,Matches,ded82b9a
David Douděra,MF,28,1.0,0,0,0,0,1,0,5,1,0,,,0,Matches,e95b4604
Denis Višinský,FW,23,0.6,0,0,0,0,1,0,0,0,0,,,0,Matches,d5aac0e9
Vladimír Darida,MF,35,0.6,0,0,0,0,1,0,0,1,0,,,0,Matches,3eb0f2df
Tomáš Chorý,FW,31,0.3,0,0,0,2,1,0,0,0,0,,,0,Matches,163bbd4a
David Zima,DF,25,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,acf7e795
Mojmír Chytil,FW,27,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches,01a08323
Squad Total,,27.8,3.0,1,0,0,37,31,5,57,19,19,,,0,,-9999
Opponent Total,,27.2,3.0,4,0,0,32,35,5,42,27,23,,,0,,-9999
