,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Vladimír Coufal,MFDF,33,3,3,270,3.0,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,fdf3cb77
Robin Hranáč,DF,26,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,95d5aea2
Matej Kovar,GK,26,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bc67a0e1
Ladislav Krejčí,DF,27,3,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches,5b5c2228
Pavel Šulc,FW,25,3,2,189,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e9b893af
Michal Sadílek,MF,27,3,2,183,2.0,1,0,1,1,0,0,0,0,0.49,0.00,0.49,0.49,0.49,Matches,7c9fa389
Patrik Schick,FW,30,3,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5d4f7d61
Lukáš Červ,MF,25,2,2,163,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bb4a41bc
Adam Hložek,FW,23,3,2,156,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5521f419
Tomáš Holeš,DF,33,2,2,153,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e03c2d97
Alexandr Sojka,MFDF,23,3,2,141,1.6,0,1,1,0,0,0,0,0,0.00,0.64,0.64,0.00,0.64,Matches,765b7bfc
Tomáš Souček,MF,31,3,1,137,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6613c819
Jaroslav Zelený,MF,33,2,1,126,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bc647827
Lukáš Provod,FW,29,3,1,122,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8f21b7bd
Štěpán Chaloupek,DF,23,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ded82b9a
David Douděra,MF,28,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e95b4604
Denis Višinský,FW,23,1,1,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d5aac0e9
Vladimír Darida,MF,35,1,1,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3eb0f2df
Tomáš Chorý,FW,31,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,163bbd4a
David Zima,DF,25,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,acf7e795
Mojmír Chytil,FW,27,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01a08323
Lukáš Horníček,GK,23,0,0,,,,,,,,,,,,,,,,Matches,cc8312b4
David Jurásek,DFMF,25,0,0,,,,,,,,,,,,,,,,Matches,d7a03bf3
Jan Kuchta,FW,29,0,0,,,,,,,,,,,,,,,,Matches,4bce9c16
Hugo Sochůrek,MF,18,0,0,,,,,,,,,,,,,,,,Matches,c75bba87
Jindřich Staněk,GK,30,0,0,,,,,,,,,,,,,,,,Matches,eca17cf2
Squad Total,,27.8,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33,,-9999
Opponent Total,,27.2,3,33,270,3.0,6,5,11,5,1,1,4,0,2.00,1.67,3.67,1.67,3.33,,-9999
