,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Player,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
Lee Gi-hyuk,DF,25,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,2,3,-1,-0.33,,Matches,18c8c3c7
Lee Han-beom,DF,23,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,2,3,-1,-0.33,,Matches,071f2dd3
Lee Kang-in,FW,25,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,2,3,-1,-0.33,,Matches,8455ad90
Kim Seung-gyu,GK,35,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,2,3,-1,-0.33,,Matches,eabaafa6
Hwang In-beom,MF,29,3,263,88,97.4,2.9,3,88,2,0,,0,1.00,2,3,-1,-0.34,-0.34,Matches,92fa5d28
Seol Young-woo,MF,27,3,250,83,92.6,2.8,3,83,2,0,,0,1.00,2,3,-1,-0.36,-0.36,Matches,8e577e1d
Kim Min-jae,DF,29,3,245,82,90.7,2.7,3,82,2,0,,0,1.00,2,3,-1,-0.37,-0.37,Matches,e0f8151c
Paik Seung-ho,MF,29,3,204,68,75.6,2.3,3,68,0,0,,0,1.00,2,2,0,0.00,+1.36,Matches,1e1bea09
Son Heung-min,FW,33,3,169,56,62.6,1.9,2,62,0,1,45,0,1.00,1,3,-2,-1.07,-1.96,Matches,92e7e919
Lee Jae-sung,FW,33,2,117,59,43.3,1.3,2,59,0,0,,1,1.50,0,2,-2,-1.54,-2.13,Matches,34b0387f
Lee Tae-seok,MF,23,2,113,57,41.9,1.3,2,57,0,0,,1,1.50,1,1,0,0.00,+0.57,Matches,32257cce
Oh Hyeon-gyu,FW,25,3,129,43,47.8,1.4,1,73,0,2,28,0,1.00,1,1,0,0.00,+0.64,Matches,d25422fb
Hwang Hee-chan,FW,30,3,108,36,40.0,1.2,1,45,0,2,32,0,1.00,2,0,+2,+1.67,+3.33,Matches,169fd162
Kim Moon-hwan,MF,30,1,70,70,25.9,0.8,1,70,0,0,,2,0.00,0,1,-1,-1.29,-1.29,Matches,6bce7dd8
Kim Jin-gyu,MF,29,2,52,26,19.3,0.6,0,,0,2,26,1,1.50,0,1,-1,-1.73,-1.73,Matches,7c0479b1
Jens Castrop,MF,22,1,45,45,16.7,0.5,0,,0,1,45,2,0.00,0,1,-1,-2.00,-2.00,Matches,03fee7de
Eom Ji-sung,MF,24,2,42,21,15.6,0.5,0,,0,2,21,1,1.50,1,0,+1,+2.14,+2.93,Matches,3a049da1
Park Jinseob,DFMF,30,2,32,16,11.9,0.4,0,,0,2,16,1,1.50,0,0,0,0.00,+0.38,Matches,3316967a
Cho Gue-sung,FW,28,2,31,16,11.5,0.3,0,,0,2,16,1,0.00,0,0,0,0.00,+0.38,Matches,ccfa8e5e
Yang Hyun-jun,FWMF,24,1,20,20,7.4,0.2,0,,0,1,20,2,0.00,0,0,0,0.00,+0.36,Matches,f4cda99f
Song Bum-keun,GK,28,0,,,,,0,,0,0,,3,,,,,,,Matches,2455c2d6
Lee Dong-gyeong,FWMF,28,0,,,,,0,,0,0,,3,,,,,,,Matches,a6828876
Jo Hyeon-woo,GK,34,0,,,,,0,,0,0,,3,,,,,,,Matches,c75a3145
Bae Jun-ho,FWMF,22,0,,,,,0,,0,0,,3,,,,,,,Matches,0895ffb1
Kim Tae-hyeon,DF,25,0,,,,,0,,0,0,,3,,,,,,,Matches,3ab57a75
Cho Wi-je,DF,24,0,,,,,0,,0,0,,3,,,,,,,Matches,dcf21532
Squad Total,,28.2,3,270,90,100,3.0,33,78,18,15,26,30,1.00,2,3,-1,-0.33,,,-9999
Opponent Total,,27.3,3,270,90,100,3.0,33,78,21,12,18,30,2.00,3,2,+1,+0.33,,,-9999
