,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Lee Gi-hyuk,DF,25,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,18c8c3c7
Lee Han-beom,DF,23,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,071f2dd3
Lee Kang-in,FW,25,3,3,270,3.0,0,1,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches,8455ad90
Kim Seung-gyu,GK,35,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eabaafa6
Hwang In-beom,MF,29,3,3,263,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,Matches,92fa5d28
Seol Young-woo,MF,27,3,3,250,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8e577e1d
Kim Min-jae,DF,29,3,3,245,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e0f8151c
Paik Seung-ho,MF,29,3,3,204,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1e1bea09
Son Heung-min,FW,33,3,2,169,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,92e7e919
Lee Jae-sung,FW,33,2,2,117,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,34b0387f
Lee Tae-seok,MF,23,2,2,113,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,32257cce
Oh Hyeon-gyu,FW,25,3,1,129,1.4,1,0,1,1,0,0,0,0,0.70,0.00,0.70,0.70,0.70,Matches,d25422fb
Hwang Hee-chan,FW,30,3,1,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,169fd162
Kim Moon-hwan,MF,30,1,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6bce7dd8
Kim Jin-gyu,MF,29,2,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7c0479b1
Jens Castrop,MF,22,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,03fee7de
Eom Ji-sung,MF,24,2,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3a049da1
Park Jinseob,DFMF,30,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3316967a
Cho Gue-sung,FW,28,2,0,31,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ccfa8e5e
Yang Hyun-jun,FWMF,24,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f4cda99f
Song Bum-keun,GK,28,0,0,,,,,,,,,,,,,,,,Matches,2455c2d6
Lee Dong-gyeong,FWMF,28,0,0,,,,,,,,,,,,,,,,Matches,a6828876
Jo Hyeon-woo,GK,34,0,0,,,,,,,,,,,,,,,,Matches,c75a3145
Bae Jun-ho,FWMF,22,0,0,,,,,,,,,,,,,,,,Matches,0895ffb1
Kim Tae-hyeon,DF,25,0,0,,,,,,,,,,,,,,,,Matches,3ab57a75
Cho Wi-je,DF,24,0,0,,,,,,,,,,,,,,,,Matches,dcf21532
Squad Total,,28.2,3,33,270,3.0,2,2,4,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33,,-9999
Opponent Total,,27.3,3,33,270,3.0,3,2,5,3,0,0,1,0,1.00,0.67,1.67,1.00,1.67,,-9999
