,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Player,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
Lee Gi-hyuk,DF,25,3.0,1,0,0,2,1,0,2,5,4,,,0,Matches,18c8c3c7
Lee Han-beom,DF,23,3.0,0,0,0,7,2,0,2,3,2,,,0,Matches,071f2dd3
Lee Kang-in,FW,25,3.0,1,0,0,1,7,0,19,0,0,,,0,Matches,8455ad90
Kim Seung-gyu,GK,35,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches,eabaafa6
Hwang In-beom,MF,29,2.9,0,0,0,1,1,0,2,4,2,,,0,Matches,92fa5d28
Seol Young-woo,MF,27,2.8,0,0,0,1,2,4,9,1,0,,,0,Matches,8e577e1d
Kim Min-jae,DF,29,2.7,0,0,0,2,1,0,0,2,2,,,0,Matches,e0f8151c
Paik Seung-ho,MF,29,2.3,1,0,0,1,2,0,1,1,0,,,0,Matches,1e1bea09
Son Heung-min,FW,33,1.9,0,0,0,0,4,2,3,0,1,,,0,Matches,92e7e919
Lee Jae-sung,FW,33,1.3,0,0,0,1,4,1,0,2,3,,,0,Matches,34b0387f
Lee Tae-seok,MF,23,1.3,0,0,0,3,1,0,8,0,3,,,0,Matches,32257cce
Oh Hyeon-gyu,FW,25,1.4,0,0,0,0,1,0,1,0,0,,,0,Matches,d25422fb
Hwang Hee-chan,FW,30,1.2,0,0,0,1,2,0,0,0,1,,,0,Matches,169fd162
Kim Moon-hwan,MF,30,0.8,0,0,0,0,0,0,0,1,1,,,0,Matches,6bce7dd8
Kim Jin-gyu,MF,29,0.6,0,0,0,0,1,0,1,0,1,,,0,Matches,7c0479b1
Jens Castrop,MF,22,0.5,0,0,0,3,0,0,3,0,0,,,0,Matches,03fee7de
Eom Ji-sung,MF,24,0.5,0,0,0,0,1,0,3,0,2,,,0,Matches,3a049da1
Park Jinseob,DFMF,30,0.4,0,0,0,0,1,0,0,0,0,,,0,Matches,3316967a
Cho Gue-sung,FW,28,0.3,1,0,0,1,0,0,0,0,0,,,0,Matches,ccfa8e5e
Yang Hyun-jun,FWMF,24,0.2,0,0,0,1,0,1,0,1,1,,,0,Matches,f4cda99f
Squad Total,,28.2,3.0,4,0,0,25,31,8,54,20,23,,,0,,-9999
Opponent Total,,27.3,3.0,1,0,0,32,25,8,28,29,20,,,0,,-9999
