#,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls,Player-additional
12,Song Bum-keun,GK,1.kr Jeonbuk,Seongnam-si Korea Republic,1997-10-15,28-239,0,,,2455c2d6
23,Jens Castrop,MF,1.de Gladbach,Düsseldorf Germany,2003-07-29,22-317,1,45,0,03fee7de
26,Lee Dong-gyeong,FWMF,1.kr Ulsan HD,Daegu Korea Republic,1997-09-20,28-264,0,,,a6828876
3,Lee Gi-hyuk,DF,1.kr Gangwon FC,Seoul Korea Republic,2000-07-07,25-339,3,270,0,18c8c3c7
9,Cho Gue-sung,FW,1.dk Midtjylland,Ansan-si Korea Republic,1998-01-25,28-137,2,31,0,ccfa8e5e
2,Lee Han-beom,DF,1.dk Midtjylland,Daegu Korea Republic,2002-06-17,23-359,3,270,0,071f2dd3
11,Hwang Hee-chan,FW,1.eng Wolves,Chuncheon Korea Republic,1996-01-26,30-136,3,108,0,169fd162
7,Son Heung-min,FW,1.us LAFC,Chuncheon Korea Republic,1992-07-08,33-338,3,169,0,92e7e919
18,Oh Hyeon-gyu,FW,1.tr Beşiktaş,Namyangju-si Korea Republic,2001-04-12,25-060,3,129,1,d25422fb
21,Jo Hyeon-woo,GK,1.kr Ulsan HD,Seoul Korea Republic,1991-09-25,34-259,0,,,c75a3145
20,Yang Hyun-jun,FWMF,1.sct Celtic,Busan Korea Republic,2002-05-25,24-017,1,20,0,f4cda99f
6,Hwang In-beom,MF,1.nl Feyenoord,Daejeon Korea Republic,1996-09-20,29-264,3,263,1,92fa5d28
10,Lee Jae-sung,FW,1.de Mainz 05,Ulsan Korea Republic,1992-08-10,33-305,2,117,0,34b0387f
25,Eom Ji-sung,MF,2.eng Swansea City,Kimje Korea Republic,2002-05-09,24-033,2,42,0,3a049da1
24,Kim Jin-gyu,MF,1.kr Jeonbuk,Pohang Korea Republic,1997-02-24,29-107,2,52,0,7c0479b1
16,Park Jinseob,DFMF,1.cn Zhejiang,Jeonju Korea Republic,1995-10-23,30-231,2,32,0,3316967a
17,Bae Jun-ho,FWMF,2.eng Stoke City,Daegu Korea Republic,2003-08-21,22-294,0,,,0895ffb1
19,Lee Kang-in,FW,1.fr PSG,Incheon Korea Republic,2001-02-19,25-112,3,270,0,8455ad90
4,Kim Min-jae,DF,1.de Bayern Munich,Tongyeong Korea Republic,1996-11-15,29-208,3,245,0,e0f8151c
15,Kim Moon-hwan,MF,1.kr Daejeon Hana,Hwaseong-si Korea Republic,1995-08-01,30-314,1,70,0,6bce7dd8
1,Kim Seung-gyu,GK,1.jp FC Tokyo,Ulsan Korea Republic,1990-09-30,35-254,3,270,0,eabaafa6
8,Paik Seung-ho,MF,2.eng Birmingham City,Seoul Korea Republic,1997-03-17,29-086,3,204,0,1e1bea09
5,Kim Tae-hyeon,DF,1.jp Kashima Antlers,Gimpo-si Korea Republic,2000-09-17,25-267,0,,,3ab57a75
13,Lee Tae-seok,MF,1.at Austria Wien,Incheon Korea Republic,2002-07-28,23-318,2,113,0,32257cce
14,Cho Wi-je,DF,1.kr Jeonbuk,Busan Korea Republic,2001-08-25,24-290,0,,,dcf21532
22,Seol Young-woo,MF,1.rs Red Star,Ulsan Korea Republic,1998-12-05,27-188,3,250,0,8e577e1d
,Cho Yu-min,DF,1.ae Al-Sharjah SCC,Daegu Korea Republic,1996-11-17,29-206,,,,7a4529dc
