,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Player,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
Raúl Rangel,GK,26,4.9,0,0,0,1,0,0,0,0,0,,,0,Matches,15f733fb
Roberto Alvarado,FWMF,27,4.8,0,0,0,3,5,1,36,2,3,,,0,Matches,ff871e14
Julián Quiñones,FWMF,29,4.6,0,0,0,5,7,1,3,0,0,,,0,Matches,5535c728
Jesús Gallardo,DF,31,4.1,0,0,0,7,3,0,16,7,1,,,0,Matches,d0846b6c
Johan Vásquez,DF,27,4.0,1,0,0,0,2,0,1,2,1,,,0,Matches,5eaed77a
Jorge Sánchez,DF,28,3.9,1,0,0,5,1,1,6,5,4,,,0,Matches,c8d1c3a5
Erik Lira,MF,26,3.8,0,0,0,3,4,0,2,2,3,,,0,Matches,7b2c24ed
Raúl Jiménez,FW,35,3.5,0,0,0,7,2,2,0,0,1,,,0,Matches,b561db50
César Montes,DF,29,3.5,0,1,0,4,3,0,2,2,1,,,0,Matches,28e957d7
Luis Romo,MF,31,2.9,0,0,0,1,3,0,1,4,4,,,0,Matches,e590bb10
Gilberto Mora,MF,17,2.4,0,0,0,3,3,0,4,2,2,,,0,Matches,69c9ffe8
Edson Álvarez,MFDF,28,2.7,1,0,0,5,2,0,1,3,6,,,0,Matches,8b3ab7ad
Israel Reyes,DF,26,2.2,0,0,0,1,0,0,2,3,1,,,0,Matches,0db8bbc4
Brian Gutiérrez,MF,22,2.2,1,0,0,5,3,0,5,2,1,,,0,Matches,d88f31db
Álvaro Fidalgo,MF,29,1.1,0,0,0,0,2,0,4,1,0,,,0,Matches,c705cdc4
Mateo Chávez,DF,22,0.9,0,0,0,1,1,0,1,0,1,,,0,Matches,f82246a1
Guillermo Martínez Ayala,FW,31,0.8,0,0,0,3,1,0,0,0,0,,,0,Matches,59146354
Santiago Giménez,FW,25,1.0,0,0,0,1,3,0,0,0,0,,,0,Matches,37337aea
Obed Vargas,MF,20,0.7,0,0,0,1,0,0,0,1,2,,,0,Matches,9cc1fde4
Orbelín Pineda,FWMF,30,0.3,0,0,0,0,2,0,0,0,0,,,0,Matches,411fabd7
Luis Chávez,MF,30,0.3,0,0,0,1,0,0,1,0,1,,,0,Matches,e50949ea
Armando González,FW,23,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches,1278bc9a
Guillermo Ochoa,GK,40,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,1e9bde92
Alexis Vega,FWMF,28,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches,f40f4c38
César Huerta,FWMF,25,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,de2f44ce
Squad Total,,27.6,5.0,4,1,0,58,47,5,86,36,32,,,0,,-9999
Opponent Total,,27.3,5.0,11,4,0,48,54,9,72,25,42,,,0,,-9999
