,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Player,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
Raúl Rangel,GK,26,4.9,0,0,0,,0.00,0.00,,,0,0,Matches,15f733fb
Roberto Alvarado,FWMF,27,4.8,0,5,0,0.0,1.05,0.00,0.00,,0,0,Matches,ff871e14
Julián Quiñones,FWMF,29,4.6,4,14,6,42.9,3.07,1.32,0.29,0.67,0,0,Matches,5535c728
Jesús Gallardo,DF,31,4.1,0,4,0,0.0,0.97,0.00,0.00,,0,0,Matches,d0846b6c
Johan Vásquez,DF,27,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,Matches,5eaed77a
Jorge Sánchez,DF,28,3.9,0,1,1,100.0,0.26,0.26,0.00,0.00,0,0,Matches,c8d1c3a5
Erik Lira,MF,26,3.8,0,0,0,,0.00,0.00,,,0,0,Matches,7b2c24ed
Raúl Jiménez,FW,35,3.5,3,18,7,38.9,5.11,1.99,0.11,0.29,1,1,Matches,b561db50
César Montes,DF,29,3.5,0,1,1,100.0,0.29,0.29,0.00,0.00,0,0,Matches,28e957d7
Luis Romo,MF,31,2.9,1,3,1,33.3,1.02,0.34,0.33,1.00,0,0,Matches,e590bb10
Gilberto Mora,MF,17,2.4,0,5,0,0.0,2.11,0.00,0.00,,0,0,Matches,69c9ffe8
Edson Álvarez,MFDF,28,2.7,0,2,0,0.0,0.75,0.00,0.00,,0,0,Matches,8b3ab7ad
Israel Reyes,DF,26,2.2,0,2,0,0.0,0.89,0.00,0.00,,0,0,Matches,0db8bbc4
Brian Gutiérrez,MF,22,2.2,0,6,0,0.0,2.73,0.00,0.00,,0,0,Matches,d88f31db
Álvaro Fidalgo,MF,29,1.1,1,3,2,66.7,2.81,1.87,0.33,0.50,0,0,Matches,c705cdc4
Mateo Chávez,DF,22,0.9,1,1,1,100.0,1.17,1.17,1.00,1.00,0,0,Matches,f82246a1
Guillermo Martínez Ayala,FW,31,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,59146354
Santiago Giménez,FW,25,1.0,0,2,1,50.0,2.09,1.05,0.00,0.00,0,0,Matches,37337aea
Obed Vargas,MF,20,0.7,0,1,1,100.0,1.36,1.36,0.00,0.00,0,0,Matches,9cc1fde4
Orbelín Pineda,FWMF,30,0.3,0,1,0,0.0,2.90,0.00,0.00,,0,0,Matches,411fabd7
Luis Chávez,MF,30,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,e50949ea
Armando González,FW,23,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,1278bc9a
Guillermo Ochoa,GK,40,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,1e9bde92
Alexis Vega,FWMF,28,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,f40f4c38
César Huerta,FWMF,25,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,de2f44ce
Squad Total,,27.6,5.0,10,70,21,30.0,14.00,4.20,0.13,0.43,1,1,,-9999
Opponent Total,,27.3,5.0,3,38,11,28.9,7.60,2.20,0.05,0.18,1,1,,-9999
