,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Raúl Rangel,GK,26,5,5,437,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,15f733fb
Roberto Alvarado,FWMF,27,5,5,428,4.8,0,3,3,0,0,0,0,0,0.00,0.63,0.63,0.00,0.63,Matches,ff871e14
Julián Quiñones,FWMF,29,5,5,410,4.6,4,1,5,4,0,0,0,0,0.88,0.22,1.10,0.88,1.10,Matches,5535c728
Jesús Gallardo,DF,31,5,4,373,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d0846b6c
Johan Vásquez,DF,27,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5eaed77a
Jorge Sánchez,DF,28,4,4,348,3.9,0,1,1,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,Matches,c8d1c3a5
Erik Lira,MF,26,4,4,345,3.8,0,1,1,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches,7b2c24ed
Raúl Jiménez,FW,35,4,4,317,3.5,3,0,3,2,1,1,0,0,0.85,0.00,0.85,0.57,0.57,Matches,b561db50
César Montes,DF,29,4,4,314,3.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,28e957d7
Luis Romo,MF,31,4,4,264,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,Matches,e590bb10
Gilberto Mora,MF,17,4,3,213,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,69c9ffe8
Edson Álvarez,MFDF,28,4,2,240,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8b3ab7ad
Israel Reyes,DF,26,4,2,202,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0db8bbc4
Brian Gutiérrez,MF,22,4,2,198,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d88f31db
Álvaro Fidalgo,MF,29,3,1,96,1.1,1,0,1,1,0,0,0,0,0.94,0.00,0.94,0.94,0.94,Matches,c705cdc4
Mateo Chávez,DF,22,1,1,77,0.9,1,0,1,1,0,0,0,0,1.17,0.00,1.17,1.17,1.17,Matches,f82246a1
Guillermo Martínez Ayala,FW,31,2,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,59146354
Santiago Giménez,FW,25,4,0,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,37337aea
Obed Vargas,MF,20,3,0,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9cc1fde4
Orbelín Pineda,FWMF,30,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,411fabd7
Luis Chávez,MF,30,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e50949ea
Armando González,FW,23,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1278bc9a
Guillermo Ochoa,GK,40,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1e9bde92
Alexis Vega,FWMF,28,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f40f4c38
César Huerta,FWMF,25,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,de2f44ce
Carlos Acevedo,GK,30,0,0,,,,,,,,,,,,,,,,Matches,0810e384
Squad Total,,27.6,5,55,450,5.0,10,7,17,9,1,1,4,1,2.00,1.40,3.40,1.80,3.20,,-9999
Opponent Total,,27.3,5,55,450,5.0,3,2,5,2,1,1,11,4,0.60,0.40,1.00,0.40,0.80,,-9999
