,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Player,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
Mbekezeli Mbokazi,DF,20,4.0,0,0,0,3,5,1,3,4,5,,,0,Matches,13398d42
Khuliso Mudau,DF,31,4.0,0,0,0,4,10,1,3,11,8,,,0,Matches,75388f92
Ime Okon,DF,22,4.0,0,0,0,1,0,0,0,5,2,,,0,Matches,3cb58055
Ronwen Williams,GK,34,4.0,0,0,0,0,0,0,0,1,0,,,0,Matches,a66cc153
Aubrey Modiba,DF,30,3.8,1,0,0,4,6,2,11,4,5,,,0,Matches,bb1f97f2
Teboho Mokoena,MF,29,3.0,2,0,0,3,6,0,5,5,3,,,0,Matches,00029b1e
Oswin Appollis,MFFW,24,2.8,0,0,0,1,2,0,8,1,3,,,0,Matches,e8933eb0
Thapelo Maseko,MFFW,22,2.7,0,0,0,4,10,0,2,2,1,,,0,Matches,498d45f7
Sphephelo Sithole,MF,27,2.5,0,1,0,5,1,0,0,5,5,,,0,Matches,33bcd4b3
Thalente Mbatha,MF,26,2.9,1,0,0,4,0,0,4,5,2,,,0,Matches,f6272be9
Evidence Makgopa,FW,26,2.4,0,0,0,1,1,2,0,1,1,,,0,Matches,4d76d03b
Relebohile Mofokeng,MF,21,1.9,0,0,0,3,2,0,2,0,2,,,0,Matches,25c3fb97
Iqraam Rayners,FW,30,1.8,0,0,0,1,1,2,2,0,0,,,0,Matches,190b0d5e
Jayden Adams,MF,25,1.3,0,0,0,0,0,0,0,2,0,,,0,Matches,259affab
Nkosinathi Sibisi,DF,30,1.0,1,0,0,1,0,0,0,1,0,,,0,Matches,932f8e2b
Lyle Foster,FW,25,0.6,0,0,0,0,1,0,0,0,0,,,0,Matches,f84a807c
Tshepang Moremi,MF,25,0.4,0,0,0,1,1,0,0,0,1,,,0,Matches,546d38f9
Themba Zwane,FWMF,36,0.3,0,1,0,1,0,0,0,0,0,,,0,Matches,c6f21aa8
Kamogelo Sebelebele,DFMF,23,0.1,0,0,0,1,0,0,1,0,0,,,0,Matches,cc014f7d
Squad Total,,26.7,4.0,5,2,0,38,46,8,41,47,38,,,0,,-9999
Opponent Total,,27.7,4.0,5,1,0,49,38,3,73,29,34,,,0,,-9999
