,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Player,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
Mbekezeli Mbokazi,DF,20,4.0,0,4,1,25.0,1.00,0.25,0.00,0.00,0,0,Matches,13398d42
Khuliso Mudau,DF,31,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,75388f92
Ime Okon,DF,22,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,Matches,3cb58055
Ronwen Williams,GK,34,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,a66cc153
Aubrey Modiba,DF,30,3.8,0,5,1,20.0,1.30,0.26,0.00,0.00,0,0,Matches,bb1f97f2
Teboho Mokoena,MF,29,3.0,1,4,2,50.0,1.33,0.67,0.00,0.00,1,1,Matches,00029b1e
Oswin Appollis,MFFW,24,2.8,0,4,1,25.0,1.41,0.35,0.00,0.00,0,0,Matches,e8933eb0
Thapelo Maseko,MFFW,22,2.7,1,8,1,12.5,2.98,0.37,0.13,1.00,0,0,Matches,498d45f7
Sphephelo Sithole,MF,27,2.5,0,0,0,,0.00,0.00,,,0,0,Matches,33bcd4b3
Thalente Mbatha,MF,26,2.9,0,4,1,25.0,1.38,0.35,0.00,0.00,0,0,Matches,f6272be9
Evidence Makgopa,FW,26,2.4,0,4,3,75.0,1.67,1.26,0.00,0.00,0,0,Matches,4d76d03b
Relebohile Mofokeng,MF,21,1.9,0,3,1,33.3,1.60,0.53,0.00,0.00,0,0,Matches,25c3fb97
Iqraam Rayners,FW,30,1.8,0,1,0,0.0,0.56,0.00,0.00,,0,0,Matches,190b0d5e
Jayden Adams,MF,25,1.3,0,0,0,,0.00,0.00,,,0,0,Matches,259affab
Nkosinathi Sibisi,DF,30,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,932f8e2b
Lyle Foster,FW,25,0.6,0,1,0,0.0,1.64,0.00,0.00,,0,0,Matches,f84a807c
Tshepang Moremi,MF,25,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,546d38f9
Themba Zwane,FWMF,36,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,c6f21aa8
Kamogelo Sebelebele,DFMF,23,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,cc014f7d
Squad Total,,26.7,4.0,2,39,11,28.2,9.75,2.75,0.03,0.09,1,1,,-9999
Opponent Total,,27.7,4.0,4,50,17,34.0,12.50,4.25,0.08,0.24,0,0,,-9999
