,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Mbekezeli Mbokazi,DF,20,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13398d42
Khuliso Mudau,DF,31,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,75388f92
Ime Okon,DF,22,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3cb58055
Ronwen Williams,GK,34,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a66cc153
Aubrey Modiba,DF,30,4,4,346,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bb1f97f2
Teboho Mokoena,MF,29,3,3,270,3.0,1,0,1,0,1,1,2,0,0.33,0.00,0.33,0.00,0.00,Matches,00029b1e
Oswin Appollis,MFFW,24,4,3,255,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8933eb0
Thapelo Maseko,MFFW,22,3,3,242,2.7,1,0,1,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches,498d45f7
Sphephelo Sithole,MF,27,3,3,229,2.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,33bcd4b3
Thalente Mbatha,MF,26,4,2,260,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f6272be9
Evidence Makgopa,FW,26,4,2,215,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4d76d03b
Relebohile Mofokeng,MF,21,3,2,169,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,25c3fb97
Iqraam Rayners,FW,30,4,2,161,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,190b0d5e
Jayden Adams,MF,25,3,2,116,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,259affab
Nkosinathi Sibisi,DF,30,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,932f8e2b
Lyle Foster,FW,25,1,1,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f84a807c
Tshepang Moremi,MF,25,2,0,34,0.4,0,1,1,0,0,0,0,0,0.00,2.65,2.65,0.00,2.65,Matches,546d38f9
Themba Zwane,FWMF,36,1,0,23,0.3,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,c6f21aa8
Kamogelo Sebelebele,DFMF,23,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cc014f7d
Sipho Chaine,GK,29,0,0,,,,,,,,,,,,,,,,Matches,c9f36f66
Bradley Cross,DF,25,0,0,,,,,,,,,,,,,,,,Matches,9df63a1b
Ricardo Goss,GK,32,0,0,,,,,,,,,,,,,,,,Matches,707d1d95
Samukele Kabini,DF,22,0,0,,,,,,,,,,,,,,,,Matches,70b480d3
Olwethu Makhanya,DF,22,0,0,,,,,,,,,,,,,,,,Matches,1627e6b5
Thabang Matuludi,DF,27,0,0,,,,,,,,,,,,,,,,Matches,8a77ded2
Khulumani Ndamane,DF,22,0,0,,,,,,,,,,,,,,,,Matches,0ebbc4f3
Squad Total,,26.7,4,44,360,4.0,2,1,3,1,1,1,5,2,0.50,0.25,0.75,0.25,0.50,,-9999
Opponent Total,,27.7,4,44,360,4.0,4,3,7,4,0,0,5,1,1.00,0.75,1.75,1.00,1.75,,-9999
